Date,Value
7/17/16,60.58214548
7/16/16,93.15405891
7/15/16,76.35477809
7/14/16,86.47388884
7/13/16,39.47331755
7/12/16,57.00989519
7/11/16,80.89893329
7/10/16,62.36461374
7/9/16,32.87836901
7/8/16,31.78156601
7/7/16,24.19776328
7/6/16,79.95966437
7/5/16,86.26090378
7/4/16,47.50698379
7/3/16,22.87266868
7/2/16,40.52189751
7/1/16,40.09729089
6/30/16,37.02223758
6/29/16,30.97255604
6/28/16,44.44494518
6/27/16,31.85758896
6/26/16,36.3892224
6/25/16,33.68513379
6/24/16,15.63597576
6/23/16,18.6652648
6/22/16,21.10357905
6/21/16,16.97236179
6/20/16,31.51141741
6/19/16,44.48388026
6/18/16,41.83328607
6/17/16,22.71077065
6/16/16,32.44409644
6/15/16,44.11186962
6/14/16,27.05199965
6/13/16,22.70628509
6/12/16,23.86146392
6/11/16,85.50995017
6/10/16,68.06555733
6/9/16,73.12082044
6/8/16,87.81337469
6/7/16,39.5693349
6/6/16,58.80659589
6/5/16,35.1192918
6/4/16,31.66493899
6/3/16,31.06408838
6/2/16,84.83577584
6/1/16,44.31545699
5/31/16,35.51454367
5/30/16,42.50673795
5/29/16,45.57873496
5/28/16,42.89207983
5/27/16,42.57152563
5/26/16,78.1547913
5/25/16,92.52299426
5/24/16,91.75448365
5/23/16,69.81119932
5/22/16,131.158314
5/21/16,97.44457693
5/20/16,73.46037775
5/19/16,69.08945875
5/18/16,104.8956087
5/17/16,72.87343416
5/16/16,116.9888672
5/15/16,127.7323219
5/14/16,151.4558278
5/13/16,79.61646161
5/12/16,101.7252746
5/11/16,62.4253757
5/10/16,57.82546678
5/9/16,82.54159653
5/8/16,104.2704571
5/7/16,61.64270253
5/6/16,63.1688386
5/5/16,122.2444313
5/4/16,110.1810162
5/3/16,42.34538821
5/2/16,45.2148887
5/1/16,108.5228416
4/30/16,75.31096248
4/29/16,84.96276641
4/28/16,34.05254381
4/27/16,57.94893837
4/26/16,54.04271801
4/25/16,41.62646807
4/24/16,47.93431487
4/23/16,106.656071
4/22/16,43.47660271
4/21/16,65.93302279
4/20/16,39.82066619
4/19/16,93.88378724
4/18/16,77.98334151
4/17/16,123.7649473
4/16/16,88.74827793
4/15/16,66.93949734
4/14/16,68.1044969
4/13/16,65.66048542
4/12/16,65.61681188
4/11/16,80.62243738
4/10/16,124.2074627
4/9/16,46.475088
4/8/16,80.11695122
4/7/16,140.0284534
4/6/16,141.8251335
4/5/16,83.49701694
4/4/16,82.52851251
4/3/16,147.7644069
4/2/16,86.0081467
4/1/16,76.77059986
3/31/16,76.29911988
3/30/16,80.31611421
3/29/16,49.83723938
3/28/16,77.60036149
3/27/16,62.99616007
3/26/16,159.1010856
3/25/16,126.6455119
3/24/16,89.85774104
3/23/16,60.27335664
3/22/16,79.34822432
3/21/16,61.66270843
3/20/16,79.33838323
3/19/16,53.84531882
3/18/16,58.31375287
3/17/16,66.02680136
3/16/16,61.7582068
3/15/16,62.37405101
3/14/16,62.16420751
3/13/16,55.50216967
3/12/16,46.3142586
3/11/16,56.02813649
3/10/16,61.43964271
3/9/16,54.49712194
3/8/16,48.74384664
3/7/16,57.7633537
3/6/16,51.98106752
3/5/16,27.19980979
3/4/16,65.33812662
3/3/16,68.34691733
3/2/16,92.67451904
3/1/16,81.18696286
2/29/16,67.49385357
2/28/16,102.672316
2/27/16,68.21546826
2/26/16,83.03183577
2/25/16,64.00250821
2/24/16,43.67909834
2/23/16,35.18471586
2/22/16,60.36846558
2/21/16,24.05428893
2/20/16,40.17541075
2/19/16,54.03943969
2/18/16,35.83809092
2/17/16,40.86475641
2/16/16,45.22185391
2/15/16,39.60838976
2/14/16,29.84203714
2/13/16,41.85164504
2/12/16,44.59099187
2/11/16,58.97828255
2/10/16,33.99248471
2/9/16,36.16753946
2/8/16,57.34260708
2/7/16,70.36772892
2/6/16,50.22453281
2/5/16,39.1676297
2/4/16,29.08733605
2/3/16,45.92908988
2/2/16,60.76597462
2/1/16,54.28854467
1/31/16,63.43188561
1/30/16,90.93855498
1/29/16,31.87546988
1/28/16,35.82512298
1/27/16,62.0620477
1/26/16,51.71862612
1/25/16,59.63649386
1/24/16,36.08273285
1/23/16,26.97261653
1/22/16,21.50745967
1/21/16,24.07524314
1/20/16,14.80886583
1/19/16,36.28592386
1/18/16,24.62264853
1/17/16,12.57285958
1/16/16,11.2481226
1/15/16,11.39130998
1/14/16,47.87540547
1/13/16,19.8194391
1/12/16,49.7157905
1/11/16,31.42147592
1/10/16,45.77598031
1/9/16,30.07052548
1/8/16,23.0656231
1/7/16,19.41680213
1/6/16,40.1434732
1/5/16,40.19095265
1/4/16,38.42749571
1/3/16,30.90932209
1/2/16,32.47161293
1/1/16,33.45985184
12/31/15,26.74439932
12/30/15,22.64661721
12/29/15,25.62942636
12/28/15,40.06114255
12/27/15,18.99568258
12/26/15,13.43035079
12/25/15,77.6906393
12/24/15,38.06378095
12/23/15,49.09628302
12/22/15,56.49684165
12/21/15,21.16897536
12/20/15,24.67162906
12/19/15,41.93873569
12/18/15,35.54247764
12/17/15,38.86474326
12/16/15,19.39392648
